SIGNAL2,B,C
285,0.01204,692
285.2,0.01206,766
285.4,0.01207,700
285.6,0.01207,664
285.8,0.01205,714
286,0.01203,664
286.2,0.01204,758
286.4,0.01205,730
286.6,0.01205,742
286.8,0.01203,718
287,0.01203,780
287.2,0.01203,702
287.4,0.01201,730
287.6,0.012,770
287.8,0.01204,752
288,0.01206,730
288.2,0.01204,758
288.4,0.01205,734
288.6,0.01203,830
288.8,0.01204,714
289,0.01203,702
289.2,0.01203,826
289.4,0.01203,714
289.6,0.01204,782
289.8,0.01204,838
290,0.01206,848
290.2,0.01201,864
290.4,0.01203,912
290.6,0.01203,810
290.8,0.01203,916
291,0.01203,898
291.2,0.01201,848
291.4,0.01201,934
291.6,0.01202,992
291.8,0.01204,932
292,0.01202,966
292.2,0.01204,1008
292.4,0.01203,964
292.6,0.01202,990
292.8,0.01199,936
293,0.01202,998
293.2,0.01204,1070
293.4,0.01201,1040
293.6,0.01202,1082
293.8,0.01201,1088
294,0.01203,1016
294.2,0.01201,1096
294.4,0.01202,1032
294.6,0.01203,1170
294.8,0.01202,1026
295,0.01202,1066
295.2,0.01204,1016
295.4,0.01204,1094
295.6,0.01204,1092
295.8,0.01205,1156
296,0.01204,1114
296.2,0.01204,1156
296.4,0.01202,1112
296.6,0.01201,1146
296.8,0.01201,1234
297,0.01201,1126
297.2,0.01202,1178
297.4,0.01202,1174
297.6,0.01202,1120
297.8,0.012,1204
298,0.01202,1244
298.2,0.01202,1246
298.4,0.01202,1178
298.6,0.01204,1220
298.8,0.01203,1328
299,0.01204,1298
299.2,0.01203,1252
299.4,0.01201,1316
299.6,0.01203,1272
299.8,0.01204,1304
300,0.01203,1316
300.2,0.01203,1350
300.4,0.01204,1366
300.6,0.01205,1390
300.8,0.01203,1256
301,0.01205,1294
301.2,0.01204,1360
301.4,0.01207,1542
301.6,0.01206,1350
301.8,0.01201,1412
302,0.012,1264
302.2,0.01205,1476
302.4,0.01207,1460
302.6,0.01204,1402
302.8,0.01204,1458
303,0.01201,1600
303.2,0.01203,1590
303.4,0.01204,1596
303.6,0.01204,1812
303.8,0.01202,1668
304,0.01204,1732
304.2,0.01203,1826
304.4,0.01202,2024
304.6,0.01203,2016
304.8,0.01203,2182
305,0.01203,2250
305.2,0.01202,2496
305.4,0.01204,2598
305.6,0.01201,2898
305.8,0.01201,2980
306,0.01201,3152
306.2,0.012,3360
306.4,0.01203,3740
306.6,0.01198,3870
306.8,0.01202,4098
307,0.01202,4320
307.2,0.01202,4436
307.4,0.012,4850
307.6,0.012,5090
307.8,0.01201,5256
308,0.01198,5464
308.2,0.01203,5342
308.4,0.01201,5564
308.6,0.01201,5786
308.8,0.01201,5838
309,0.012,6086
309.2,0.01202,5760
309.4,0.01205,5754
309.6,0.01202,5758
309.8,0.012,5614
310,0.01202,5484
310.2,0.01205,5308
310.4,0.01205,5106
310.6,0.01204,5018
310.8,0.01203,4648
311,0.01203,4592
311.2,0.01204,4340
311.4,0.01203,4122
311.6,0.01203,3928
311.8,0.01203,3556
312,0.01202,3408
312.2,0.01201,3322
312.4,0.01203,3190
312.6,0.01206,2818
312.8,0.01205,2792
313,0.012,2622
313.2,0.01202,2522
313.4,0.01204,2428
313.6,0.01202,2362
313.8,0.01203,2092
314,0.01202,2100
314.2,0.01204,2104
314.4,0.01203,2054
314.6,0.01202,2046
314.8,0.01203,1962
315,0.01202,1864
315.2,0.01205,2056
315.4,0.01204,1996
315.6,0.01207,1978
315.8,0.01207,1940
316,0.01206,2022
316.2,0.01205,1980
316.4,0.01204,1940
316.6,0.01205,2014
316.8,0.01204,1976
317,0.01206,1972
317.2,0.01203,1988
317.4,0.01207,1872
317.6,0.01206,2088
317.8,0.01203,2084
318,0.01205,1978
318.2,0.01205,1982
318.4,0.01204,2024
318.6,0.01206,2116
318.8,0.01206,2088
319,0.01205,2082
319.2,0.01205,2124
319.4,0.01204,2040
319.6,0.01201,2096
319.8,0.01205,2066
320,0.01204,2066
320.2,0.01205,2112
320.4,0.01205,2108
320.6,0.01202,1972
320.8,0.01204,2086
321,0.01205,2178
321.2,0.01202,2060
321.4,0.01201,2100
321.6,0.01203,2102
321.8,0.01203,2102
322,0.01203,2260
322.2,0.01202,2070
322.4,0.01205,2152
322.6,0.01205,2022
322.8,0.01206,2188
323,0.01205,2124
323.2,0.01204,2150
323.4,0.01204,2094
323.6,0.01205,2180
323.8,0.01205,2048
324,0.01202,2188
324.2,0.01202,2128
324.4,0.01203,2206
324.6,0.01204,2162
324.8,0.01201,2116
325,0.01202,2278
325.2,0.01204,2170
325.4,0.01203,2172
325.6,0.01203,2202
325.8,0.01203,2226
326,0.01204,2174
326.2,0.01201,2310
326.4,0.01201,2196
326.6,0.01202,2220
326.8,0.01204,2214
327,0.01204,2296
327.2,0.01205,2190
327.4,0.01202,2230
327.6,0.01201,2278
327.8,0.01202,2216
328,0.01199,2306
328.2,0.01202,2250
328.4,0.01202,2214
328.6,0.01203,2172
328.8,0.01205,2240
329,0.01204,2422
329.2,0.01203,2276
329.4,0.01204,2360
329.6,0.01204,2308
329.8,0.01204,2272
330,0.01203,2404
330.2,0.01203,2300
330.4,0.01203,2340
330.6,0.01203,2324
330.8,0.01205,2364
331,0.01203,2388
331.2,0.01203,2234
331.4,0.01205,2300
331.6,0.01203,2242
331.8,0.01202,2412
332,0.01201,2380
332.2,0.01201,2410
332.4,0.01202,2362
332.6,0.01203,2408
332.8,0.01203,2282
333,0.01205,2238
333.2,0.01206,2442
333.4,0.01204,2330
333.6,0.01202,2464
333.8,0.01203,2390
334,0.01205,2296
334.2,0.01204,2406
334.4,0.01205,2406
334.6,0.01205,2350
334.8,0.01204,2166
335,0.01203,2502
335.2,0.01203,2326
335.4,0.01203,2242
335.6,0.01203,2420
335.8,0.01201,2360
336,0.012,2342
336.2,0.01201,2474
336.4,0.012,2484
336.6,0.01201,2390
336.8,0.01202,2358
337,0.01204,2374
337.2,0.01202,2370
337.4,0.01202,2368
337.6,0.01203,2394
337.8,0.01202,2482
338,0.01201,2506
338.2,0.01202,2402
338.4,0.01202,2478
338.6,0.01203,2426
338.8,0.01203,2446
339,0.01202,2350
339.2,0.01203,2310
339.4,0.01202,2434
339.6,0.01202,2554
339.8,0.01202,2308
340,0.01202,2398
340.2,0.01203,2408
340.4,0.01204,2550
340.6,0.01202,2436
340.8,0.01203,2304
341,0.01203,2454
341.2,0.01202,2446
341.4,0.01205,2348
341.6,0.01204,2370
341.8,0.01203,2586
342,0.01202,2508
342.2,0.01204,2370
342.4,0.01204,2378
342.6,0.01204,2500
342.8,0.01203,2476
343,0.01204,2504
343.2,0.01202,2454
343.4,0.012,2468
343.6,0.01201,2396
343.8,0.01202,2490
344,0.01202,2540
344.2,0.01202,2502
344.4,0.01201,2446
344.6,0.01201,2588
344.8,0.01202,2508
345,0.01202,2600
345.2,0.01201,2600
345.4,0.01201,2570
345.6,0.01203,2500
345.8,0.012,2498
346,0.01201,2458
346.2,0.01203,2528
346.4,0.01204,2446
346.6,0.01202,2626
346.8,0.012,2446
347,0.01202,2542
347.2,0.01203,2566
347.4,0.01203,2508
347.6,0.01202,2542
347.8,0.01199,2672
348,0.01202,2602
348.2,0.01201,2470
348.4,0.01201,2658
348.6,0.01201,2746
348.8,0.012,2624
349,0.01202,2568
349.2,0.01203,2518
349.4,0.01203,2588
349.6,0.01202,2556
349.8,0.01202,2680
350,0.01202,2648
350.2,0.012,2576
350.4,0.01202,2636
350.6,0.01202,2550
350.8,0.01203,2632
351,0.01201,2604
351.2,0.01202,2616
351.4,0.01205,2582
351.6,0.01202,2686
351.8,0.01203,2608
352,0.01205,2780
352.2,0.01202,2742
352.4,0.01201,2738
352.6,0.01202,2782
352.8,0.01202,2646
353,0.01203,2730
353.2,0.01202,2564
353.4,0.01203,2616
353.6,0.01205,2810
353.8,0.01204,2720
354,0.01203,2758
354.2,0.01203,2716
354.4,0.01204,2786
354.6,0.012,2818
354.8,0.01204,2846
355,0.01204,2678
355.2,0.01206,2608
355.4,0.01205,2700
355.6,0.01204,2748
355.8,0.01204,2774
356,0.01206,2676
356.2,0.01206,2844
356.4,0.01207,2856
356.6,0.01205,2784
356.8,0.01203,2898
357,0.01204,2780
357.2,0.01205,2810
357.4,0.01202,2750
357.6,0.01203,2886
357.8,0.01204,2930
358,0.01205,2852
358.2,0.01206,2950
358.4,0.01204,2876
358.6,0.01206,2940
358.8,0.01207,2750
359,0.01205,2952
359.2,0.01205,2828
359.4,0.01206,2888
359.6,0.01205,2854
359.8,0.01205,2916
360,0.01204,2840
360.2,0.01204,2726
360.4,0.01205,2958
360.6,0.01206,2906
360.8,0.01205,2906
361,0.01205,3034
361.2,0.01206,2950
361.4,0.01208,3018
361.6,0.01208,2920
361.8,0.01204,2916
362,0.01205,2922
362.2,0.01202,2924
362.4,0.01202,3156
362.6,0.01203,3170
362.8,0.01203,2962
363,0.01203,2910
363.2,0.01203,3142
363.4,0.01203,3038
363.6,0.01202,3044
363.8,0.01205,3116
364,0.01203,3178
364.2,0.01203,3054
364.4,0.01204,3082
364.6,0.01202,3094
364.8,0.01205,3022
365,0.01203,2984
365.2,0.01204,3148
365.4,0.01204,3234
365.6,0.01204,3250
365.8,0.01204,3258
366,0.01205,3376
366.2,0.01205,3310
366.4,0.01204,3194
366.6,0.01204,3246
366.8,0.01203,3112
367,0.01202,3242
367.2,0.01202,3308
367.4,0.01202,3472
367.6,0.01204,3366
367.8,0.01201,3322
368,0.01204,3412
368.2,0.01203,3346
368.4,0.01201,3464
368.6,0.01202,3246
368.8,0.01201,3398
369,0.01203,3296
369.2,0.01202,3338
369.4,0.01202,3364
369.6,0.01202,3490
369.8,0.01203,3424
370,0.01205,3396
370.2,0.01205,3430
370.4,0.01202,3540
370.6,0.01202,3680
370.8,0.01204,3302
371,0.01201,3480
371.2,0.01201,3368
371.4,0.01201,3638
371.6,0.012,3420
371.8,0.01202,3560
372,0.01203,3562
372.2,0.01203,3534
372.4,0.01202,3592
372.6,0.01204,3684
372.8,0.01203,3662
373,0.01204,3522
373.2,0.01203,3646
373.4,0.01203,3734
373.6,0.01202,3722
373.8,0.01204,3766
374,0.01204,3838
374.2,0.01203,3808
374.4,0.01205,3774
374.6,0.01202,3686
374.8,0.01202,3890
375,0.01202,3844
375.2,0.01202,3796
375.4,0.01204,3768
375.6,0.01205,3856
375.8,0.01203,4008
376,0.01203,3990
376.2,0.01205,3662
376.4,0.01203,3900
376.6,0.01204,4066
376.8,0.01204,3870
377,0.01205,3932
377.2,0.01202,3900
377.4,0.01202,4024
377.6,0.01201,3924
377.8,0.01202,4006
378,0.01202,3912
378.2,0.01203,4038
378.4,0.01204,4168
378.6,0.01203,4042
378.8,0.01202,3952
379,0.01202,4072
379.2,0.01203,4014
379.4,0.01203,4166
379.6,0.01204,4110
379.8,0.01203,3992
380,0.01204,4294
380.2,0.01202,4284
380.4,0.01199,4218
380.6,0.01201,4338
380.8,0.01205,4276
381,0.01205,4260
381.2,0.01203,4190
381.4,0.01204,4396
