Wavelength,230,232,234,236,238,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450,452,454,456,458,460,462,464,466,468,470,472,474,476,478,480,482,484,486,488,490,492,494,496,498,500
nm,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /
250,"3,92157","5,06757","-0,17637","-0,37523",0,"-0,03176","0,14271","-0,07951","0,1011","0,04055","0,01033","-0,02801","0,02261","0,00268","0,00227","0,00993","0,02114","0,03611","0,04281","0,04839","0,04097","0,05896","0,05414","0,07395","0,0762","0,10285","0,10901","0,12677","0,12034","0,11991","0,13556","0,11851","0,13709","0,14213","0,13585","0,16503","0,17201","0,16333","0,14386","0,14161","0,14807","0,15726","0,16858","0,15609","0,1982","0,18144","0,20431","0,22979","0,22834","0,22943","0,24357","0,24902","0,22985","0,25102","0,24614","0,25619","0,26436","0,23829","0,262","0,26933","0,26287","0,29143","0,28167","0,27392","0,29767","0,29323","0,29641","0,30078","0,30512","0,01707","0,07399","0,36435","0,68099","0,58725","0,19816","0,01811","0,00303","0,29083","0,28928","0,26007","0,2702","0,24783","0,25112","0,23031","0,21564","0,19505","0,20018","0,20392","0,18779","0,18309","0,17218","0,16047","0,16404","0,15076","0,15275","0,14749","0,14487","0,13922","0,1409","0,13012","0,13023","0,12044","0,13093","0,12509","0,12594","0,12192","0,12244","0,11768","0,11766","0,12025","0,10837","0,09919","0,09515","0,09965","0,1069","0,10468","0,09532","0,09229","0,08595","0,08312","0,08975","0,08031","0,08152","0,08141","0,08472","0,08377","0,07823","0,07685","0,07427","0,07498","0,06665","0,05428","0,06244","0,06175","0,05406","0,05827"
251,"5,96026","3,7037","-0,5291","0,46598","0,48622","-0,03177","0,2239","-0,07951","0,1011","0,04055","0,01033","-0,02801","0,02261","0,00268","0,00227","0,00993","0,02114","0,03611","0,04281","0,04839","0,04097","0,05896","0,05414","0,07395","0,0762","0,10285","0,10901","0,12677","0,12034","0,11991","0,13556","0,11851","0,13709","0,14213","0,13585","0,16503","0,17201","0,16333","0,14386","0,14161","0,14807","0,15726","0,16858","0,15609","0,1982","0,18144","0,20431","0,22979","0,22834","0,22943","0,24357","0,24902","0,22985","0,25102","0,24614","0,25619","0,26436","0,23829","0,262","0,26933","0,26287","0,29143","0,28167","0,27392","0,29767","0,29323","0,29641","0,30078","0,30512","0,31333","0,30103","0,3139","0,29965","0,299","0,31006","0,29138","0,30469","0,29083","0,28928","0,26007","0,2702","0,24783","0,25112","0,23031","0,21564","0,19505","0,20018","0,20392","0,18779","0,18309","0,17218","0,16047","0,16404","0,15076","0,15275","0,14749","0,14487","0,13922","0,1409","0,13012","0,13023","0,12044","0,13093","0,12509","0,12594","0,12192","0,12244","0,11768","0,11766","0,12025","0,10837","0,09919","0,09515","0,09965","0,1069","0,10468","0,09532","0,09229","0,08595","0,08312","0,08975","0,08031","0,08152","0,08141","0,08472","0,08377","0,07823","0,07685","0,07427","0,07498","0,06665","0,05428","0,06244","0,06175","0,05406","0,05827"
252,"-4,60526","6,08108","1,41093","0,93545","0,21645","0,15893","-0,06096","-0,07951","0,1011","0,04055","0,01033","-0,02801","0,02261","0,00268","0,00227","0,00993","0,02114","0,03611","0,04281","0,04839","0,04097","0,05896","0,05414","0,07395","0,0762","0,10285","0,10901","0,12677","0,12034","0,11991","0,13556","0,11851","0,13709","0,14213","0,13585","0,16503","0,17201","0,16333","0,14386","0,14161","0,14807","0,15726","0,16858","0,15609","0,1982","0,18144","0,20431","0,22979","0,22834","0,22943","0,24357","0,24902","0,22985","0,25102","0,24614","0,25619","0,26436","0,23829","0,262","0,26933","0,26287","0,29143","0,28167","0,27392","0,29767","0,29323","0,29641","0,30078","0,30512","0,31333","0,30103","0,3139","0,29965","0,299","0,31006","0,29138","0,30469","0,29083","0,28928","0,26007","0,2702","0,24783","0,25112","0,23031","0,21564","0,19505","0,20018","0,20392","0,18779","0,18309","0,17218","0,16047","0,16404","0,15076","0,15275","0,14749","0,14487","0,13922","0,1409","0,13012","0,13023","0,12044","0,13093","0,12509","0,12594","0,12192","0,12244","0,11768","0,11766","0,12025","0,10837","0,09919","0,09515","0,09965","0,1069","0,10468","0,09532","0,09229","0,08595","0,08312","0,08975","0,08031","0,08152","0,08141","0,08472","0,08377","0,07823","0,07685","0,07427","0,07498","0,06665","0,05428","0,06244","0,06175","0,05406","0,05827"
253,0,"0,33557","1,23675",0,"0,43127",0,"0,18263","-0,05281","0,1011","0,04055","0,01033","-0,02801","0,02261","0,00268","0,00227","0,00993","0,02114","0,03611","0,04281","0,04839","0,04097","0,05896","0,05414","0,07395","0,0762","0,10285","0,10901","0,12677","0,12034","0,11991","0,13556","0,11851","0,13709","0,14213","0,13585","0,16503","0,17201","0,16333","0,14386","0,14161","0,14807","0,15726","0,16858","0,15609","0,1982","0,18144","0,20431","0,22979","0,22834","0,22943","0,24357","0,24902","0,22985","0,25102","0,24614","0,25619","0,26436","0,23829","0,262","0,26933","0,26287","0,29143","0,28167","0,27392","0,29767","0,29323","0,29641","0,30078","0,30512","0,31333","0,30103","0,3139","0,29965","0,299","0,31006","0,29138","0,30469","0,29083","0,28928","0,26007","0,2702","0,24783","0,25112","0,23031","0,21564","0,19505","0,20018","0,20392","0,18779","0,18309","0,17218","0,16047","0,16404","0,15076","0,15275","0,14749","0,14487","0,13922","0,1409","0,13012","0,13023","0,12044","0,13093","0,12509","0,12594","0,12192","0,12244","0,11768","0,11766","0,12025","0,10837","0,09919","0,09515","0,09965","0,1069","0,10468","0,09532","0,09229","0,08595","0,08312","0,08975","0,08031","0,08152","0,08141","0,08472","0,08377","0,07823","0,07685","0,07427","0,07498","0,06665","0,05428","0,06244","0,06175","0,05406","0,05827"
254,"-4,60526","-2,68456","0,70796","0,56127","0,10811","0,12723","-0,14207","-0,02643","0,1011","0,04055","0,01033","-0,02801","0,02261","0,00268","0,00227","0,00993","0,02114","0,03611","0,04281","0,04839","0,04097","0,05896","0,05414","0,07395","0,0762","0,10285","0,10901","0,12677","0,12034","0,11991","0,13556","0,11851","0,13709","0,14213","0,13585","0,16503","0,17201","0,16333","0,14386","0,14161","0,14807","0,15726","0,16858","0,15609","0,1982","0,18144","0,20431","0,22979","0,22834","0,22943","0,24357","0,24902","0,22985","0,25102","0,24614","0,25619","0,26436","0,23829","0,262","0,26933","0,26287","0,29143","0,28167","0,27392","0,29767","0,29323","0,29641","0,30078","0,30512","0,31333","0,30103","0,3139","0,29965","0,299","0,31006","0,29138","0,30469","0,29083","0,28928","0,26007","0,2702","0,24783","0,25112","0,23031","0,21564","0,19505","0,20018","0,20392","0,18779","0,18309","0,17218","0,16047","0,16404","0,15076","0,15275","0,14749","0,14487","0,13922","0,1409","0,13012","0,13023","0,12044","0,13093","0,12509","0,12594","0,12192","0,12244","0,11768","0,11766","0,12025","0,10837","0,09919","0,09515","0,09965","0,1069","0,10468","0,09532","0,09229","0,08595","0,08312","0,08975","0,08031","0,08152","0,08141","0,08472","0,08377","0,07823","0,07685","0,07427","0,07498","0,06665","0,05428","0,06244","0,06175","0,05406","0,05827"
255,"1,3245","5,40541","-2,12014","0,65482","0,70194","-0,06345","0,2442","-0,13179","0,04602","0,04055","0,01033","-0,02801","0,02261","0,00268","0,00227","0,00993","0,02114","0,03611","0,04281","0,04839","0,04097","0,05896","0,05414","0,07395","0,0762","0,10285","0,10901","0,12677","0,12034","0,11991","0,13556","0,11851","0,13709","0,14213","0,13585","0,16503","0,17201","0,16333","0,14386","0,14161","0,14807","0,15726","0,16858","0,15609","0,1982","0,18144","0,20431","0,22979","0,22834","0,22943","0,24357","0,24902","0,22985","0,25102","0,24614","0,25619","0,26436","0,23829","0,262","0,26933","0,26287","0,29143","0,28167","0,27392","0,29767","0,29323","0,29641","0,30078","0,30512","0,31333","0,30103","0,3139","0,29965","0,299","0,31006","0,29138","0,30469","0,29083","0,28928","0,26007","0,2702","0,24783","0,25112","0,23031","0,21564","0,19505","0,20018","0,20392","0,18779","0,18309","0,17218","0,16047","0,16404","0,15076","0,15275","0,14749","0,14487","0,13922","0,1409","0,13012","0,13023","0,12044","0,13093","0,12509","0,12594","0,12192","0,12244","0,11768","0,11766","0,12025","0,10837","0,09919","0,09515","0,09965","0,1069","0,10468","0,09532","0,09229","0,08595","0,08312","0,08975","0,08031","0,08152","0,08141","0,08472","0,08377","0,07823","0,07685","0,07427","0,07498","0,06665","0,05428","0,06244","0,06175","0,05406","0,05827"
256,"6,62252","-0,33898","-1,9469","0,56127","0,21587","-0,06355","-0,02034","0,02637","0,05525","0,04055","0,01033","-0,02801","0,02261","0,00268","0,00227","0,00993","0,02114","0,03611","0,04281","0,04839","0,04097","0,05896","0,05414","0,07395","0,0762","0,10285","0,10901","0,12677","0,12034","0,11991","0,13556","0,11851","0,13709","0,14213","0,13585","0,16503","0,17201","0,16333","0,14386","0,14161","0,14807","0,15726","0,16858","0,15609","0,1982","0,18144","0,20431","0,22979","0,22834","0,22943","0,24357","0,24902","0,22985","0,25102","0,24614","0,25619","0,26436","0,23829","0,262","0,26933","0,26287","0,29143","0,28167","0,27392","0,29767","0,29323","0,29641","0,30078","0,30512","0,31333","0,30103","0,3139","0,29965","0,299","0,31006","0,29138","0,30469","0,29083","0,28928","0,26007","0,2702","0,24783","0,25112","0,23031","0,21564","0,19505","0,20018","0,20392","0,18779","0,18309","0,17218","0,16047","0,16404","0,15076","0,15275","0,14749","0,14487","0,13922","0,1409","0,13012","0,13023","0,12044","0,13093","0,12509","0,12594","0,12192","0,12244","0,11768","0,11766","0,12025","0,10837","0,09919","0,09515","0,09965","0,1069","0,10468","0,09532","0,09229","0,08595","0,08312","0,08975","0,08031","0,08152","0,08141","0,08472","0,08377","0,07823","0,07685","0,07427","0,07498","0,06665","0,05428","0,06244","0,06175","0,05406","0,05827"
257,"3,94737","-3,72881","-1,06007",0,"0,05388","-0,25437","0,12205","-0,05284","0,05518","-0,02698","0,01033","-0,02801","0,02261","0,00268","0,00227","0,00993","0,02114","0,03611","0,04281","0,04839","0,04097","0,05896","0,05414","0,07395","0,0762","0,10285","0,10901","0,12677","0,12034","0,11991","0,13556","0,11851","0,13709","0,14213","0,13585","0,16503","0,17201","0,16333","0,14386","0,14161","0,14807","0,15726","0,16858","0,15609","0,1982","0,18144","0,20431","0,22979","0,22834","0,22943","0,24357","0,24902","0,22985","0,25102","0,24614","0,25619","0,26436","0,23829","0,262","0,26933","0,26287","0,29143","0,28167","0,27392","0,29767","0,29323","0,29641","0,30078","0,30512","0,31333","0,30103","0,3139","0,29965","0,299","0,31006","0,29138","0,30469","0,29083","0,28928","0,26007","0,2702","0,24783","0,25112","0,23031","0,21564","0,19505","0,20018","0,20392","0,18779","0,18309","0,17218","0,16047","0,16404","0,15076","0,15275","0,14749","0,14487","0,13922","0,1409","0,13012","0,13023","0,12044","0,13093","0,12509","0,12594","0,12192","0,12244","0,11768","0,11766","0,12025","0,10837","0,09919","0,09515","0,09965","0,1069","0,10468","0,09532","0,09229","0,08595","0,08312","0,08975","0,08031","0,08152","0,08141","0,08472","0,08377","0,07823","0,07685","0,07427","0,07498","0,06665","0,05428","0,06244","0,06175","0,05406","0,05827"
